time	geo	champ	rh	rbh
2022-01-01	NL	mdhifi	0.15639609225795587	0.19974971618296222
2022-01-01	NL	mdhim	0.12505795193537356	0.16001879441583577
2022-01-01	NL	mdhimfi	0.1130259052512859	0.14435713942282502
2022-01-01	NL	tb	0.05724314711799456	0.07242899282544771
2022-01-01	BE	md	0.04838729198318997	0.06199697791650834
2022-01-01	BE	mdhfi	0.04592542903749084	0.05765782963199598
2022-01-01	BE	mdhi	0.07492531704889982	0.10396176655847698
2022-01-01	BE	mdhifi	0.07099916935747295	0.09677313057223579
2022-01-01	BE	mdhim	0.0751603247305697	0.10043367935719875
2022-01-01	BE	mdhimfi	0.06135367225252648	0.08362614647061319
2022-01-01	BE	tb	0.04536042388799985	0.057547356973019013
2021-01-01	DE	md	0.032675709596638354	0.04280920809857594
2021-01-01	DE	mdhfi	0.03128023767053476	0.040358971003300985
2021-01-01	DE	mdhi	0.06487973155769837	0.09354856869372905
2021-01-01	DE	mdhifi	0.06253494749988057	0.08911756999464857
2021-01-01	DE	mdhim	0.058252195950576284	0.0797570280434722
2021-01-01	DE	mdhimfi	0.04628288657560636	0.06595701361968614
2021-01-01	DE	tb	0.02735814442068008	0.03606495732176373
2021-01-01	FR	md	0.02902478129290123	0.037891236261327316
2021-01-01	FR	mdhfi	0.032142508229343524	0.03908567303994606
2021-01-01	FR	mdhi	0.04452199008020608	0.07984013049393418
2021-01-01	FR	mdhifi	0.058736497939931596	0.08789329519724474
2021-01-01	FR	mdhim	0.030511192628531192	0.050150321508684016
2021-01-01	FR	mdhimfi	0.027281023931202908	0.042989146120754336
2021-01-01	FR	tb	0.02706435037363597	0.03478893017952551
2021-01-01	IT	md	0.0527552521730784	0.05887015142320244
2021-01-01	IT	mdhfi	0.0500849191774129	0.05519062825030571
2021-01-01	IT	mdhi	0.0829497345414012	0.09814212869530525
2021-01-01	IT	mdhifi	0.0773974279082577	0.09039517867002989
2021-01-01	IT	mdhim	0.07765199279257307	0.09001719091467689
2021-01-01	IT	mdhimfi	0.06251439411557026	0.07301275996179096
2021-01-01	IT	tb	0.04836352942780958	0.05370201043990534
2021-01-01	ES	md	0.03927324161280801	0.04635180878693404
2021-01-01	ES	mdhfi	0.037238382468928355	0.042826942020928516
2021-01-01	ES	mdhi	0.03549766800928825	0.04864313214426231
2021-01-01	ES	mdhifi	0.0315762429657762	0.042078328930767114
